trial_number,alignment,max_group_uniformity,min_group_rank,min_group_alignment,uniformity,effective_rank,uniformity_avg,effective_rank_avg,weight_entropy_ratio,tau,sigma_scale,feasible,group_Prosody_alignment,group_Prosody_uniformity,group_Prosody_effective_rank,group_Prosody_entropy_ratio,group_Vocal_Tract_alignment,group_Vocal_Tract_uniformity,group_Vocal_Tract_effective_rank,group_Vocal_Tract_entropy_ratio,group_Timbre_alignment,group_Timbre_uniformity,group_Timbre_effective_rank,group_Timbre_entropy_ratio,group_Voice_Quality_alignment,group_Voice_Quality_uniformity,group_Voice_Quality_effective_rank,group_Voice_Quality_entropy_ratio,group_Scene_alignment,group_Scene_uniformity,group_Scene_effective_rank,group_Scene_entropy_ratio,alpha_mult_Prosody,alpha_mult_Vocal_Tract,alpha_mult_Timbre,alpha_mult_Voice_Quality,alpha_mult_Scene
12,0.8349948887825012,-0.21147970199584962,2.8157270050048826,0.6929451870918274,-0.21147970199584962,2.8157270050048826,-0.590822927415371,3.495757656097412,0.8198081075706114,0.8083581207376613,,False,0.9129776620864868,-0.3583250415325165,3.0615702724456786,0.6376848866983127,0.929859745502472,-0.21825095027685165,2.8241449546813966,0.9436701754345281,0.7080183815956116,-1.107695906162262,4.4396577739715575,0.7928240260823362,0.9311734676361084,-0.21147970199584962,2.8157270050048826,0.9178448863430911,0.6929451870918274,-1.058363037109375,4.337688274383545,0.8070165632947888,1.061669801044995,3.1285594973429944,1.3386074521132707,4.023561065549591,1.5125460088270142
13,0.8359292159080506,-0.1683012640476227,2.711239995956421,0.6634138584136963,-0.1683012640476227,2.711239995956421,-0.6033388395905495,3.727110706329346,0.8033100222325235,0.8029600155992113,,False,0.9122127175331116,-0.3771041667461395,3.1736031913757325,0.6142356241850658,0.9483714151382446,-0.17037225276231766,2.7156323528289796,0.8921863939081799,0.6634138584136963,-1.22159583568573,5.0340898323059085,0.7969454362792986,0.9474158883094788,-0.1683012640476227,2.711239995956421,0.919550089422329,0.7082322001457214,-1.0793206787109375,5.000988159179688,0.793632567367744,1.0049017475318431,2.222839994311344,1.3251425339323704,4.02119207052895,1.4711878768997402
14,0.9086610155105592,-0.05547225654125214,1.8682754516601563,0.7855643367767334,-0.05547225654125214,1.8682754516601563,-0.28334871943295,2.485855972290039,0.8428575111060301,0.7645176557183964,,False,0.9852434301376343,-0.05547225654125214,1.8682754516601563,0.8102778852882443,0.9849927353858948,-0.05668956883251667,1.8755760526657104,0.9380118549967219,0.8027172493934631,-0.610565230846405,3.3839447689056397,0.7891766684504269,0.9847873258590698,-0.057496605813503264,1.8823479795455933,0.8845127671334211,0.7855643367767334,-0.636519935131073,3.4191356086730957,0.7923083796613362,1.7666453441665955,2.8954957895969473,1.3427992882663162,3.37776986645623,1.447150118616501
15,0.8619762287139892,-0.052084562554955485,1.9644501686096192,0.671105079650879,-0.052084562554955485,1.9644501686096192,-0.5215750315785408,3.136564751625061,0.7929331207587369,0.9993943167094739,,False,0.9793922472000122,-0.08142016470432281,2.2022409868240356,0.6147109450519804,0.984963960647583,-0.05633798711001873,2.002823705673218,0.8980734091973231,0.671105079650879,-1.2872761249542237,4.8933673667907716,0.7624866391807806,0.9861364603042603,-0.052084562554955485,1.9644501686096192,0.9205794832642644,0.6882833957672119,-1.1307563185691833,4.619941530227661,0.7688151270993352,1.0033730849188507,2.3444952563097425,1.2395229670405228,4.013535311487374,1.3270191622939356
16,0.8471081495285033,-0.15587144255638122,2.796459226608276,0.6729853415489196,-0.15587144255638122,2.796459226608276,-0.607899972975254,4.149678258895874,0.7936592638559155,0.7131005286252419,,False,0.9580449485778808,-0.1614801010489464,2.8262657070159913,0.7328020571448437,0.9568072772026062,-0.15587144255638122,2.796459226608276,0.8730145979644233,0.691575243473053,-1.409214859008789,6.355003719329834,0.6558313952439082,0.9561279368400574,-0.15839613735675812,2.8038774967193603,0.8899657676843136,0.6729853415489196,-1.1545373249053954,5.966785144805908,0.8166825012420896,1.3897589353643387,2.049155464033814,1.007301970028838,3.3268281993854254,1.551613424815789
17,0.7935379366874694,-0.15184539824724197,2.9214660930633545,0.656075599193573,-0.15184539824724197,2.9214660930633545,-0.7751143266558647,4.268281068801881,0.8122103072929514,0.8602250184695637,,False,0.708721570968628,-1.0780587601661682,4.824402408599854,0.7824738266210849,0.9510733079910278,-0.1666027957201004,2.984221935272217,0.8263573219060532,0.656075599193573,-1.2845952415466309,5.450476741790771,0.8109443238234125,0.9558346557617188,-0.15184539824724197,2.9214660930633545,0.9156194539226994,0.6959845495223999,-1.1944694375991822,5.160838165283203,0.7256566101915066,1.5772493795278628,1.7471633567077798,1.3935750000750344,4.073255743539997,1.1920222389110937
18,0.8180419192314148,-0.15051389791071415,2.715141563415527,0.6834920430183411,-0.15051389791071415,2.715141563415527,-0.7254501998871564,4.43428457069397,0.7982286249195986,0.6949291710867231,,False,0.7878711700439454,-0.9208242106437683,4.646805543899536,0.6973429749980976,0.9429588747024537,-0.19127894684672356,2.95221040725708,0.8949101745853527,0.6834920430183411,-1.3560705995559692,6.340721569061279,0.7203765245300733,0.9547374415397644,-0.15051389791071415,2.715141563415527,0.9007406986507754,0.7211500668525695,-1.008563344478607,5.516543769836426,0.7777727518336941,1.2328878512579167,2.31593555892825,1.1292293114519707,3.718519912421025,1.3825108822440335
19,0.7829539709091187,-0.13256303519010543,2.9402940177917483,0.6388488817214966,-0.13256303519010543,2.9402940177917483,-0.8706140724420547,4.449287220001221,0.777342189822832,0.8953033068894003,,False,0.6388488817214966,-1.281796760559082,5.316583614349366,0.8083216781350997,0.9351474261283874,-0.22101406902074813,3.3998486518859865,0.7819821789572569,0.6648290610313415,-1.42653169631958,5.5773764419555665,0.7741663320395272,0.9625877857208252,-0.13256303519010543,2.9402940177917483,0.8604853615316154,0.7133566999435424,-1.2911648011207582,5.012333374023438,0.6617553984506607,1.7235145083496703,1.5120113781766908,1.2718825969676182,3.010114138427792,1.055024430076762
20,0.95205676984787,-0.020437468625605106,1.9571319007873536,0.8832358026504517,-0.020437468625605106,1.9571319007873536,-0.2194222629517317,2.7364658098220827,0.835271998394602,0.3442157407308804,,False,0.9949683856964111,-0.02098634548485279,1.9630708074569703,0.6727031867611255,0.9944343614578247,-0.021630169562995433,1.9788390827178954,0.9387529414980403,0.8928685450553894,-0.5035035598278046,3.9164670658111573,0.8381660270745986,0.9947767543792725,-0.020437468625605106,1.9571319007873536,0.8963543261539816,0.8832358026504517,-0.5305537712574006,3.866820192337036,0.8303835104852639,1.152788899605537,2.9272940676771437,1.4914375562820483,3.512639641637549,1.60821276014835
21,0.8185863308906556,-0.2720588222146034,2.9372927856445314,0.6981034398078918,-0.2720588222146034,2.9372927856445314,-0.6675614116191864,3.9135235176086427,0.7951989533121255,0.7791152390327176,,False,0.8989029479026794,-0.5154072704911232,3.199256706237793,0.6162353426087662,0.8924860978126525,-0.3080155926942825,2.9891516304016115,0.874826020749056,0.702235860824585,-1.1666128730773926,5.4039039802551265,0.7858122019807713,0.9012033081054688,-0.2720588222146034,2.9372927856445314,0.9156713484153556,0.6981034398078918,-1.0757124996185303,5.038012485504151,0.7834498528066781,1.0055407993895245,2.146310634856388,1.3203397352579167,4.084025777653229,1.4370350097569609
22,0.795240638256073,-0.11870956584811211,2.689584074020386,0.6677686095237731,-0.11870956584811211,2.689584074020386,-0.8724241614043713,4.500413780212402,0.7694763727325105,0.7733325823772702,,False,0.704102852344513,-1.3236971092224121,5.487831726074218,0.6370488344659857,0.9633483982086182,-0.13466565668582917,2.794333257675171,0.8383844074783156,0.6728138422966004,-1.4802696323394775,6.030900287628174,0.7103596513709555,0.9681694889068604,-0.11870956584811211,2.689584074020386,0.9247493605464955,0.6677686095237731,-1.3047788429260254,5.499419555664063,0.7368396098008008,1.0848268026913725,1.904084879023866,1.1246139082696,4.202556211708737,1.2261586075219209
23,0.8658469085693358,-0.08023966796696186,2.257004919052124,0.6944719767570495,-0.08023966796696186,2.257004919052124,-0.4357742374315858,2.9447878055572505,0.8172126431333957,0.9305007831952441,,False,0.978252911567688,-0.08023966796696186,2.257004919052124,0.7230723657372142,0.9762417721748352,-0.08378352373838424,2.288329839706421,0.8723630959279397,0.703558886051178,-0.9700150036811829,4.012246561050415,0.7831640061097801,0.976708996295929,-0.0809526888653636,2.2728687286376954,0.9269309295181377,0.6944719767570495,-0.9638803029060363,3.8934889793395997,0.780532818373907,1.3275451112970287,2.0075092516719346,1.2840728692830414,4.239290106571859,1.3950881754710387
