trial_number,alignment,max_group_uniformity,min_group_rank,min_group_alignment,uniformity,effective_rank,uniformity_avg,effective_rank_avg,weight_entropy_ratio,tau,sigma_scale,feasible,group_Prosody_alignment,group_Prosody_uniformity,group_Prosody_effective_rank,group_Prosody_entropy_ratio,group_Vocal_Tract_alignment,group_Vocal_Tract_uniformity,group_Vocal_Tract_effective_rank,group_Vocal_Tract_entropy_ratio,group_Timbre_alignment,group_Timbre_uniformity,group_Timbre_effective_rank,group_Timbre_entropy_ratio,group_Voice_Quality_alignment,group_Voice_Quality_uniformity,group_Voice_Quality_effective_rank,group_Voice_Quality_entropy_ratio,group_Scene_alignment,group_Scene_uniformity,group_Scene_effective_rank,group_Scene_entropy_ratio,mult_Prosody,mult_Vocal_Tract,mult_Timbre,mult_Voice_Quality,mult_Scene
20,0.9379986615180969,-0.04866345090791583,2.272554259300232,0.8290850687026977,-0.04866345090791583,2.272554259300232,-0.26667089175060393,3.1064425482749938,0.9705669024594983,0.36283083955210216,,False,0.9075506317615509,-0.4080286434292793,3.237389631271362,0.9494114695151282,0.985965176820755,-0.05421432949602604,2.3000480914115906,0.9892061598587774,0.8290850687026977,-0.7432525110244751,5.142620115280152,0.9392550117949467,0.9874043130874633,-0.04866345090791583,2.272554259300232,0.9774179592872859,0.9799881172180176,-0.07919552389532328,2.5796006441116335,0.9975439118413536,1.0079373200705464,1.8029504841224906,0.7446621220168803,1.7317024992712944,2.448608104438929
21,0.973508833169937,-0.008980444897897542,1.8089052438735962,0.9245973896980285,-0.008980444897897542,1.8089052438735962,-0.10362257891241461,2.432245537281036,0.9811383616689271,0.4149270459260025,,False,0.9976859474182129,-0.00932967871427536,1.8170509672164916,0.9950945769552405,0.997761663198471,-0.008980444897897542,1.8089052438735962,0.9785322902229907,0.9498989641666412,-0.19478634431958197,3.2452287530899047,0.9886387202251241,0.9976002013683319,-0.009455142505466939,1.8185556244850158,0.9688446104513214,0.9245973896980285,-0.2955612841248512,3.4714870977401735,0.974581610489959,2.1403091496088322,1.4433603783680051,1.240309741059828,1.5446750113387577,1.2207908533183873
22,0.9803511593341827,-0.008591558183543384,1.7400458002090453,0.9476484107971191,-0.008591558183543384,1.7400458002090453,-0.07689259646646679,2.258359179496765,0.9852445775635601,0.4352167533897105,,False,0.9971813392639161,-0.011273997155949473,1.8071057438850402,0.9931897394801895,0.9978237628936768,-0.008591558183543384,1.7400458002090453,0.9729946909456132,0.9616029441356659,-0.1494182276725769,2.886499061584473,0.9925440104039005,0.9974993395805359,-0.009886964452452957,1.7670871424674988,0.9783171197048361,0.9476484107971191,-0.2052922348678112,3.0910581493377687,0.9891773272832607,1.9061680853170428,1.3359383854026141,1.3917599242701775,1.7570175703058706,1.5752435877501905
23,0.9287562997341157,-0.06423385567963123,2.555817837715149,0.8122387886047363,-0.06423385567963123,2.555817837715149,-0.31261634622514245,3.5566803398132323,0.9575794953170806,0.38472804587213016,,False,0.9717588424682617,-0.11289982415735722,2.906361904144287,0.9965227239815126,0.9836873912811279,-0.06423385567963123,2.555817837715149,0.9825628925387138,0.8935198545455932,-0.43218339145183565,4.3561532688140865,0.9806924822084585,0.9825766217708588,-0.06831366844475269,2.6410786962509154,0.9590968935049033,0.8122387886047363,-0.8854509913921356,5.3239899921417235,0.8690224843518145,2.3179667158722665,1.562187560609582,1.0651575201508838,1.4062595608753998,0.6518866575929505
24,0.9407762377262116,-0.03973508641123771,2.2105605101585386,0.8234138679504395,-0.03973508641123771,2.2105605101585386,-0.26915402641892433,2.9760919098854064,0.9534916014354282,0.3818982888111196,,False,0.9896553003787995,-0.04128643877804279,2.2143922877311706,0.9968509172289275,0.9896868216991425,-0.04030294321477413,2.211950662136078,0.9898679487210618,0.9113357675075531,-0.35576252579689027,3.5150284957885742,0.9833960897504065,0.9897894310951233,-0.03973508641123771,2.2105605101585386,0.956716469302929,0.8234138679504395,-0.8686831378936768,4.728527593612671,0.8406265821738168,2.3637675501262683,1.82649225588173,1.122722847801743,1.352805258516829,0.5993256127689431
25,0.8969167041778563,-0.09443954966962337,2.9206474733352663,0.7896895051002503,-0.09443954966962337,2.9206474733352663,-0.4111642551869154,3.848011296272278,0.9502787265014224,0.4570300109306918,,False,0.9148773932456971,-0.3368966636061668,3.582690806388855,0.9842828882529951,0.9732722961902618,-0.10342156380414963,2.9345863962173464,0.9684796870899426,0.7896895051002503,-0.8545104706287384,5.109771432876587,0.9341615126725233,0.9757082307338715,-0.09443954966962337,2.9206474733352663,0.9160898868785402,0.8310360956192017,-0.6665530282258988,4.692360372543335,0.9483796576131112,1.466572830972469,1.2284854432448526,0.7283647292694322,0.9866144086405896,0.9624741196321329
26,0.905872686624527,-0.02167916242033243,1.9648527359962464,0.777647374868393,-0.02167916242033243,1.9648527359962464,-0.3763980615995824,3.0971274490356446,0.9459594851530708,0.47556254582872715,,False,0.9773252284526825,-0.0869443066418171,2.4670305848121643,0.9849097217031936,0.9944859325885773,-0.02167916242033243,1.9772509050369262,0.9844206866030898,0.777647374868393,-0.8976363897323608,4.532447366714478,0.9267681944199306,0.9942205262184143,-0.022713653091341258,1.9648527359962464,0.9158326068971496,0.7856843709945679,-0.8530167961120605,4.544055652618408,0.917866216141991,1.4893053389291928,1.5867134963980953,0.7052828550528718,0.9989750534087578,0.8049143165234055
27,0.9566785323619843,-0.021488167215138673,2.126381275653839,0.8179082715511322,-0.021488167215138673,2.126381275653839,-0.17828504692018032,2.6570878190994263,0.9473364669027109,0.45677944475977617,,False,0.9945745694637299,-0.021488167215138673,2.126381275653839,0.9915709351493159,0.9943521809577942,-0.022297541834414004,2.126766541004181,0.9643336232685132,0.9828062057495117,-0.06621066935360431,2.3996764087677,0.9970201561146265,0.9937514340877533,-0.02455996746197343,2.15009156703949,0.8718659169948344,0.8179082715511322,-0.7568688887357712,4.482523303031922,0.9118917029862652,1.810114843146097,1.1969091541636332,1.793220453975848,0.7641776026493512,0.7770714363007967
28,0.9797272927761078,-0.013449943144805729,1.643986825942993,0.9503744173049927,-0.013449943144805729,1.643986825942993,-0.10101229541748763,2.3224793076515198,0.9602028941603278,0.1591761248906731,,False,0.996701467037201,-0.013568937540985643,1.6466506767272948,0.9965326218000277,0.9966342973709107,-0.013449943144805729,1.643986825942993,0.9906885469305121,0.9503744173049927,-0.2611891582608223,3.4854953193664553,0.9247860872077324,0.9965314555168152,-0.013767303498461843,1.6575836968421935,0.9256530072078334,0.9583948266506195,-0.20308613464236258,3.178680019378662,0.9633542076555334,2.299254565077997,1.8734234003033585,0.7002454492318951,1.0621762975909563,1.0840354350932246
29,0.9542345976829529,-0.021390663031488656,2.3927895855903625,0.873145033121109,-0.021390663031488656,2.3927895855903625,-0.19794066821038722,3.0596786446571347,0.9625726146772144,0.33230819281960533,,False,0.9944263577461243,-0.022013548128306866,2.4090363574028015,0.9986681498028469,0.9945943534374238,-0.021390663031488656,2.3927895855903625,0.9961364512557783,0.9149403107166291,-0.35624263167381287,3.7121915197372437,0.9813815338062065,0.9940669333934784,-0.02348405735567212,2.4664424777030947,0.8957164589379574,0.873145033121109,-0.5665724408626557,4.317933282852173,0.940960479583284,2.9936745712024337,2.5335436438974757,1.0817178549711821,0.890289363993561,0.9090019176781791
