number,value,datetime_start,datetime_complete,duration,params_sigma_scale,params_tau,user_attrs_effective_rank,user_attrs_effective_rank_avg,user_attrs_group_breakdown,user_attrs_max_group_uniformity,user_attrs_min_group_alignment,user_attrs_min_group_rank,user_attrs_uniformity,user_attrs_uniformity_avg,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
10,,2026-07-25 17:36:02.643211,2026-07-25 17:44:32.651909,0 days 00:08:30.008698,0.20389834356419753,0.9790962703771402,,,,,,,,,,,FAIL
11,0.9372107410430909,2026-07-25 17:48:39.731919,2026-07-25 18:04:04.500611,0 days 00:15:24.768692,0.20389834356419753,0.9790962703771402,2.879287354151408,3.5436041673024494,"{""Prosody"": {""alignment"": 0.9449143846829732, ""uniformity"": -0.32091518534968294, ""effective_rank"": 3.039425015449524, ""weight_entropy_ratio"": 0.9487686560753011}, ""Vocal_Tract"": {""alignment"": 0.9582356770833333, ""uniformity"": -0.15010103384653728, ""effective_rank"": 2.879287354151408, ""weight_entropy_ratio"": 0.9442008281760333}, ""Timbre"": {""alignment"": 0.9157978455225627, ""uniformity"": -0.8385063727696737, ""effective_rank"": 4.462959941228231, ""weight_entropy_ratio"": 0.9774602490596193}, ""Voice_Quality"": {""alignment"": 0.9545974552631378, ""uniformity"": -0.1577793188393116, ""effective_rank"": 2.9093015750249225, ""weight_entropy_ratio"": 0.9162309338614715}, ""Scene"": {""alignment"": 0.912508342663447, ""uniformity"": -0.818642791112264, ""effective_rank"": 4.427046950658163, ""weight_entropy_ratio"": 0.9534429085417887}}",-0.15010103384653728,0.912508342663447,2.879287354151408,-0.15010103384653728,-0.45718894038349395,0.9480207151428427,"[0.29989896615346273, -0.3792873541514079]",COMPLETE
12,0.909639525016149,2026-07-25 18:04:08.025727,2026-07-25 18:20:12.547714,0 days 00:16:04.521987,0.20343939366095032,0.9710602552484724,2.682516821225484,3.439550687472026,"{""Prosody"": {""alignment"": 0.9442070325215658, ""uniformity"": -0.5238376537958781, ""effective_rank"": 2.9439417839050295, ""weight_entropy_ratio"": 0.9475091720965266}, ""Vocal_Tract"": {""alignment"": 0.8794787486394247, ""uniformity"": -0.41029947698116304, ""effective_rank"": 2.7277349710464476, ""weight_entropy_ratio"": 0.9392398746544368}, ""Timbre"": {""alignment"": 0.9279158055782318, ""uniformity"": -0.5897380501031876, ""effective_rank"": 4.370348914464315, ""weight_entropy_ratio"": 0.9768840291402159}, ""Voice_Quality"": {""alignment"": 0.8832561016082764, ""uniformity"": -0.3676340878009796, ""effective_rank"": 2.682516821225484, ""weight_entropy_ratio"": 0.9121578453515904}, ""Scene"": {""alignment"": 0.9133399367332459, ""uniformity"": -0.7102097779512405, ""effective_rank"": 4.473210946718852, ""weight_entropy_ratio"": 0.9538816657929264}}",-0.3676340878009796,0.8794787486394247,2.682516821225484,-0.3676340878009796,-0.5203438093264897,0.9459345174071392,"[0.0823659121990204, -0.18251682122548418]",COMPLETE
13,0.9251958799362181,2026-07-25 18:20:14.729036,2026-07-25 18:35:44.422830,0 days 00:15:29.693794,0.6049732796878032,0.9835501556719358,3.2777148962020872,4.039636741479238,"{""Prosody"": {""alignment"": 0.9048576573530833, ""uniformity"": -0.553602755566438, ""effective_rank"": 3.8313223203023274, ""weight_entropy_ratio"": 0.9502149767240031}, ""Vocal_Tract"": {""alignment"": 0.956932665904363, ""uniformity"": -0.1548369187861681, ""effective_rank"": 3.2777148962020872, ""weight_entropy_ratio"": 0.9417132973013611}, ""Timbre"": {""alignment"": 0.9152748286724091, ""uniformity"": -0.8099028845628102, ""effective_rank"": 4.751597468058268, ""weight_entropy_ratio"": 0.9779980957504573}, ""Voice_Quality"": {""alignment"": 0.9385363320509593, ""uniformity"": -0.20852776188403369, ""effective_rank"": 3.4028795917828876, ""weight_entropy_ratio"": 0.9148823906160619}, ""Scene"": {""alignment"": 0.9103779157002767, ""uniformity"": -0.8524196058511734, ""effective_rank"": 4.934669431050619, ""weight_entropy_ratio"": 0.9516294651443605}}",-0.1548369187861681,0.9048576573530833,3.2777148962020872,-0.1548369187861681,-0.5158579853301247,0.9472876451072489,"[0.29516308121383195, -0.7777148962020872]",COMPLETE
14,0.9768825952212016,2026-07-25 18:35:46.261625,2026-07-25 18:51:48.157019,0 days 00:16:01.895394,0.20855553702968993,0.8282223945664462,1.5000440001487731,2.2385059158007308,"{""Prosody"": {""alignment"": 0.9986603895823161, ""uniformity"": -0.005513240148623784, ""effective_rank"": 1.511613392829895, ""weight_entropy_ratio"": 0.9490937169317013}, ""Vocal_Tract"": {""alignment"": 0.9985885560512543, ""uniformity"": -0.004993221443146467, ""effective_rank"": 1.5000440001487731, ""weight_entropy_ratio"": 0.9456358507334459}, ""Timbre"": {""alignment"": 0.9512956122557322, ""uniformity"": -0.49515845576922096, ""effective_rank"": 3.320298441251119, ""weight_entropy_ratio"": 0.9765764889571328}, ""Voice_Quality"": {""alignment"": 0.9986099620660146, ""uniformity"": -0.005300971306860447, ""effective_rank"": 1.5058633089065552, ""weight_entropy_ratio"": 0.9141713973193932}, ""Scene"": {""alignment"": 0.9372584561506907, ""uniformity"": -0.5951535791158676, ""effective_rank"": 3.3547104358673097, ""weight_entropy_ratio"": 0.9558386524951883}}",-0.004993221443146467,0.9372584561506907,1.5000440001487731,-0.004993221443146467,-0.22122389355674385,0.9482632212873724,"[0.44500677855685355, 0.9999559998512269]",COMPLETE
15,0.9618163212140401,2026-07-25 18:51:49.859574,2026-07-25 19:07:55.855958,0 days 00:16:05.996384,0.6787251700569357,0.8078648239180193,2.3020395914713543,3.1416048002243047,"{""Prosody"": {""alignment"": 0.9868930379549662, ""uniformity"": -0.052193604161341986, ""effective_rank"": 2.3311049540837607, ""weight_entropy_ratio"": 0.9476687590746276}, ""Vocal_Tract"": {""alignment"": 0.986655459801356, ""uniformity"": -0.04960697572678328, ""effective_rank"": 2.3020395914713543, ""weight_entropy_ratio"": 0.9405451878347546}, ""Timbre"": {""alignment"": 0.9370373209317525, ""uniformity"": -0.7431926310062409, ""effective_rank"": 4.241496769587199, ""weight_entropy_ratio"": 0.977876118564532}, ""Voice_Quality"": {""alignment"": 0.9858824829260509, ""uniformity"": -0.05360475505391757, ""effective_rank"": 2.347577770551046, ""weight_entropy_ratio"": 0.9140731384524481}, ""Scene"": {""alignment"": 0.912613304456075, ""uniformity"": -0.8436002492904663, ""effective_rank"": 4.485804915428162, ""weight_entropy_ratio"": 0.9541115905824871}}",-0.04960697572678328,0.912613304456075,2.3020395914713543,-0.04960697572678328,-0.3484396430477501,0.9468549589017698,"[0.4003930242732167, 0.19796040852864571]",COMPLETE
16,0.9758788621425627,2026-07-25 19:07:58.146218,2026-07-25 19:24:00.882698,0 days 00:16:02.736480,0.31503254348559023,0.6413768800003867,1.7188430984814962,2.7281798219680775,"{""Prosody"": {""alignment"": 0.9979059398174286, ""uniformity"": -0.008673762056666116, ""effective_rank"": 1.7378544886906941, ""weight_entropy_ratio"": 0.9526830629889295}, ""Vocal_Tract"": {""alignment"": 0.9979538957277934, ""uniformity"": -0.008091334556229412, ""effective_rank"": 1.7188430984814962, ""weight_entropy_ratio"": 0.9429420788609197}, ""Timbre"": {""alignment"": 0.9515649815400441, ""uniformity"": -0.5815239618221919, ""effective_rank"": 4.16730568408966, ""weight_entropy_ratio"": 0.9777365976871064}, ""Voice_Quality"": {""alignment"": 0.9977485994497935, ""uniformity"": -0.00906536658294499, ""effective_rank"": 1.7514971534411112, ""weight_entropy_ratio"": 0.9173885547095433}, ""Scene"": {""alignment"": 0.9342208941777547, ""uniformity"": -0.6900118112564086, ""effective_rank"": 4.265398685137431, ""weight_entropy_ratio"": 0.9531517496319843}}",-0.008091334556229412,0.9342208941777547,1.7188430984814962,-0.008091334556229412,-0.25947324725488824,0.9487804087756967,"[0.4419086654437706, 0.7811569015185038]",COMPLETE
17,0.9208684690793355,2026-07-25 19:24:02.925480,2026-07-25 19:40:16.813396,0 days 00:16:13.887916,0.2754850296100013,0.884598734483647,2.8305800994237265,3.251647806167603,"{""Prosody"": {""alignment"": 0.953401364882787, ""uniformity"": -0.3876443952322006, ""effective_rank"": 2.8581809043884276, ""weight_entropy_ratio"": 0.9471863727765659}, ""Vocal_Tract"": {""alignment"": 0.89579562942187, ""uniformity"": -0.37618517130613327, ""effective_rank"": 2.8305800994237265, ""weight_entropy_ratio"": 0.9407103989221359}, ""Timbre"": {""alignment"": 0.9485623776912689, ""uniformity"": -0.4644209653139114, ""effective_rank"": 3.730346369743347, ""weight_entropy_ratio"": 0.9776886699945833}, ""Voice_Quality"": {""alignment"": 0.8817304968833923, ""uniformity"": -0.3575415735443433, ""effective_rank"": 2.869862429300944, ""weight_entropy_ratio"": 0.9156512266874055}, ""Scene"": {""alignment"": 0.9248524765173595, ""uniformity"": -0.6170159578323364, ""effective_rank"": 3.9692692279815676, ""weight_entropy_ratio"": 0.956445246824705}}",-0.3575415735443433,0.8817304968833923,2.8305800994237265,-0.3575415735443433,-0.44056161264578503,0.9475363830410791,"[0.09245842645565672, -0.33058009942372646]",COMPLETE
18,0.9268963011105854,2026-07-25 19:40:18.466399,2026-07-25 19:56:08.314943,0 days 00:15:49.848544,0.26739046927879323,0.9040533898269949,3.334109139442444,4.000541623433431,"{""Prosody"": {""alignment"": 0.9550505975882212, ""uniformity"": -0.3718274967124065, ""effective_rank"": 3.432276169459025, ""weight_entropy_ratio"": 0.9499422477057284}, ""Vocal_Tract"": {""alignment"": 0.920090917746226, ""uniformity"": -0.2832286403824886, ""effective_rank"": 3.334109139442444, ""weight_entropy_ratio"": 0.9417407445659218}, ""Timbre"": {""alignment"": 0.9250674287478129, ""uniformity"": -0.7572972357273102, ""effective_rank"": 4.860595003763835, ""weight_entropy_ratio"": 0.9767757995638442}, ""Voice_Quality"": {""alignment"": 0.9206843316555023, ""uniformity"": -0.2614368379116058, ""effective_rank"": 3.33550177415212, ""weight_entropy_ratio"": 0.9156916024978561}, ""Scene"": {""alignment"": 0.9135882298151652, ""uniformity"": -0.826189782222112, ""effective_rank"": 5.040226030349731, ""weight_entropy_ratio"": 0.9553136940684201}}",-0.2614368379116058,0.9135882298151652,3.334109139442444,-0.2614368379116058,-0.49999599859118465,0.9478928176803539,"[0.1885631620883942, -0.834109139442444]",COMPLETE
19,0.9774553406238555,2026-07-25 19:56:10.063148,2026-07-25 20:11:41.056644,0 days 00:15:30.993496,0.7813152171625447,0.7053959021822073,1.7670256892840068,2.603743863900503,"{""Prosody"": {""alignment"": 0.9945346117019653, ""uniformity"": -0.020228837570175528, ""effective_rank"": 1.8081210136413575, ""weight_entropy_ratio"": 0.9494792081901365}, ""Vocal_Tract"": {""alignment"": 0.9955308814843495, ""uniformity"": -0.016781580230842034, ""effective_rank"": 1.7670256892840068, ""weight_entropy_ratio"": 0.938810936576357}, ""Timbre"": {""alignment"": 0.9700599531332652, ""uniformity"": -0.36627011746168137, ""effective_rank"": 3.4808663527170816, ""weight_entropy_ratio"": 0.9766008959034093}, ""Voice_Quality"": {""alignment"": 0.9949413617451985, ""uniformity"": -0.019578210776671767, ""effective_rank"": 1.7984029134114583, ""weight_entropy_ratio"": 0.9110588556509477}, ""Scene"": {""alignment"": 0.9322098950544994, ""uniformity"": -0.6372389286756516, ""effective_rank"": 4.164303350448608, ""weight_entropy_ratio"": 0.9575380945069593}}",-0.016781580230842034,0.9322098950544994,1.7670256892840068,-0.016781580230842034,-0.2120195349430044,0.9466975981655619,"[0.433218419769158, 0.7329743107159932]",COMPLETE
20,0.952508579492569,2026-07-25 20:11:42.873885,2026-07-25 20:28:06.811645,0 days 00:16:23.937760,0.49752198301132544,0.5697580484969016,2.6416216293970742,3.7999482011795047,"{""Prosody"": {""alignment"": 0.920514976978302, ""uniformity"": -0.660447038213412, ""effective_rank"": 4.262227400143941, ""weight_entropy_ratio"": 0.9519355494273947}, ""Vocal_Tract"": {""alignment"": 0.9747649212678273, ""uniformity"": -0.10245387988785902, ""effective_rank"": 2.7667742649714153, ""weight_entropy_ratio"": 0.9413430958707135}, ""Timbre"": {""alignment"": 0.950384630759557, ""uniformity"": -0.6180235882600148, ""effective_rank"": 4.447107712427775, ""weight_entropy_ratio"": 0.9764557278985209}, ""Voice_Quality"": {""alignment"": 0.9799609462420146, ""uniformity"": -0.07602033788959185, ""effective_rank"": 2.6416216293970742, ""weight_entropy_ratio"": 0.9116242186608944}, ""Scene"": {""alignment"": 0.9369174222151438, ""uniformity"": -0.7115181942780813, ""effective_rank"": 4.882009998957316, ""weight_entropy_ratio"": 0.9539338671946843}}",-0.07602033788959185,0.920514976978302,2.6416216293970742,-0.07602033788959185,-0.4336926077057919,0.9470584918104415,"[0.3739796621104082, -0.14162162939707423]",COMPLETE
21,0.9742866122722625,2026-07-25 20:28:08.462773,2026-07-25 20:44:33.836291,0 days 00:16:25.373518,0.25208152749975354,0.91053357851586,1.6372700770696005,2.473085803985595,"{""Prosody"": {""alignment"": 0.9964455684026082, ""uniformity"": -0.014547647008051475, ""effective_rank"": 1.6497294584910074, ""weight_entropy_ratio"": 0.9503858464479387}, ""Vocal_Tract"": {""alignment"": 0.9959591686725616, ""uniformity"": -0.014111136101807158, ""effective_rank"": 1.6372700770696005, ""weight_entropy_ratio"": 0.9374134298202074}, ""Timbre"": {""alignment"": 0.9585131446520487, ""uniformity"": -0.49179894775152205, ""effective_rank"": 3.462574100494385, ""weight_entropy_ratio"": 0.977253779798121}, ""Voice_Quality"": {""alignment"": 0.9966311752796173, ""uniformity"": -0.01400675120142599, ""effective_rank"": 1.6390769084294636, ""weight_entropy_ratio"": 0.9145746566966085}, ""Scene"": {""alignment"": 0.9238840043544769, ""uniformity"": -0.7759224553902944, ""effective_rank"": 3.9767784754435223, ""weight_entropy_ratio"": 0.9528171170479889}}",-0.01400675120142599,0.9238840043544769,1.6372700770696005,-0.01400675120142599,-0.26207738749062026,0.9464889659621728,"[0.43599324879857404, 0.8627299229303995]",COMPLETE
