trial_number,alignment,max_group_uniformity,min_group_rank,min_group_alignment,uniformity,effective_rank,uniformity_avg,effective_rank_avg,weight_entropy_ratio,tau,sigma_scale,feasible,group_Prosody_alignment,group_Prosody_uniformity,group_Prosody_effective_rank,group_Prosody_entropy_ratio,group_Vocal_Tract_alignment,group_Vocal_Tract_uniformity,group_Vocal_Tract_effective_rank,group_Vocal_Tract_entropy_ratio,group_Timbre_alignment,group_Timbre_uniformity,group_Timbre_effective_rank,group_Timbre_entropy_ratio,group_Voice_Quality_alignment,group_Voice_Quality_uniformity,group_Voice_Quality_effective_rank,group_Voice_Quality_entropy_ratio,group_Scene_alignment,group_Scene_uniformity,group_Scene_effective_rank,group_Scene_entropy_ratio
11,0.9372107410430909,-0.15010103384653728,2.879287354151408,0.912508342663447,-0.15010103384653728,2.879287354151408,-0.45718894038349395,3.5436041673024494,0.9480207151428427,0.9790962703771402,0.20389834356419753,False,0.9449143846829732,-0.32091518534968294,3.039425015449524,0.9487686560753011,0.9582356770833333,-0.15010103384653728,2.879287354151408,0.9442008281760333,0.9157978455225627,-0.8385063727696737,4.462959941228231,0.9774602490596193,0.9545974552631378,-0.1577793188393116,2.9093015750249225,0.9162309338614715,0.912508342663447,-0.818642791112264,4.427046950658163,0.9534429085417887
12,0.909639525016149,-0.3676340878009796,2.682516821225484,0.8794787486394247,-0.3676340878009796,2.682516821225484,-0.5203438093264897,3.439550687472026,0.9459345174071392,0.9710602552484724,0.20343939366095032,False,0.9442070325215658,-0.5238376537958781,2.9439417839050295,0.9475091720965266,0.8794787486394247,-0.41029947698116304,2.7277349710464476,0.9392398746544368,0.9279158055782318,-0.5897380501031876,4.370348914464315,0.9768840291402159,0.8832561016082764,-0.3676340878009796,2.682516821225484,0.9121578453515904,0.9133399367332459,-0.7102097779512405,4.473210946718852,0.9538816657929264
13,0.9251958799362181,-0.1548369187861681,3.2777148962020872,0.9048576573530833,-0.1548369187861681,3.2777148962020872,-0.5158579853301247,4.039636741479238,0.9472876451072489,0.9835501556719358,0.6049732796878032,False,0.9048576573530833,-0.553602755566438,3.8313223203023274,0.9502149767240031,0.956932665904363,-0.1548369187861681,3.2777148962020872,0.9417132973013611,0.9152748286724091,-0.8099028845628102,4.751597468058268,0.9779980957504573,0.9385363320509593,-0.20852776188403369,3.4028795917828876,0.9148823906160619,0.9103779157002767,-0.8524196058511734,4.934669431050619,0.9516294651443605
14,0.9768825952212016,-0.004993221443146467,1.5000440001487731,0.9372584561506907,-0.004993221443146467,1.5000440001487731,-0.22122389355674385,2.2385059158007308,0.9482632212873724,0.8282223945664462,0.20855553702968993,False,0.9986603895823161,-0.005513240148623784,1.511613392829895,0.9490937169317013,0.9985885560512543,-0.004993221443146467,1.5000440001487731,0.9456358507334459,0.9512956122557322,-0.49515845576922096,3.320298441251119,0.9765764889571328,0.9986099620660146,-0.005300971306860447,1.5058633089065552,0.9141713973193932,0.9372584561506907,-0.5951535791158676,3.3547104358673097,0.9558386524951883
15,0.9618163212140401,-0.04960697572678328,2.3020395914713543,0.912613304456075,-0.04960697572678328,2.3020395914713543,-0.3484396430477501,3.1416048002243047,0.9468549589017698,0.8078648239180193,0.6787251700569357,False,0.9868930379549662,-0.052193604161341986,2.3311049540837607,0.9476687590746276,0.986655459801356,-0.04960697572678328,2.3020395914713543,0.9405451878347546,0.9370373209317525,-0.7431926310062409,4.241496769587199,0.977876118564532,0.9858824829260509,-0.05360475505391757,2.347577770551046,0.9140731384524481,0.912613304456075,-0.8436002492904663,4.485804915428162,0.9541115905824871
16,0.9758788621425627,-0.008091334556229412,1.7188430984814962,0.9342208941777547,-0.008091334556229412,1.7188430984814962,-0.25947324725488824,2.7281798219680775,0.9487804087756967,0.6413768800003867,0.31503254348559023,False,0.9979059398174286,-0.008673762056666116,1.7378544886906941,0.9526830629889295,0.9979538957277934,-0.008091334556229412,1.7188430984814962,0.9429420788609197,0.9515649815400441,-0.5815239618221919,4.16730568408966,0.9777365976871064,0.9977485994497935,-0.00906536658294499,1.7514971534411112,0.9173885547095433,0.9342208941777547,-0.6900118112564086,4.265398685137431,0.9531517496319843
17,0.9208684690793355,-0.3575415735443433,2.8305800994237265,0.8817304968833923,-0.3575415735443433,2.8305800994237265,-0.44056161264578503,3.251647806167603,0.9475363830410791,0.884598734483647,0.2754850296100013,False,0.953401364882787,-0.3876443952322006,2.8581809043884276,0.9471863727765659,0.89579562942187,-0.37618517130613327,2.8305800994237265,0.9407103989221359,0.9485623776912689,-0.4644209653139114,3.730346369743347,0.9776886699945833,0.8817304968833923,-0.3575415735443433,2.869862429300944,0.9156512266874055,0.9248524765173595,-0.6170159578323364,3.9692692279815676,0.956445246824705
18,0.9268963011105854,-0.2614368379116058,3.334109139442444,0.9135882298151652,-0.2614368379116058,3.334109139442444,-0.49999599859118465,4.000541623433431,0.9478928176803539,0.9040533898269949,0.26739046927879323,False,0.9550505975882212,-0.3718274967124065,3.432276169459025,0.9499422477057284,0.920090917746226,-0.2832286403824886,3.334109139442444,0.9417407445659218,0.9250674287478129,-0.7572972357273102,4.860595003763835,0.9767757995638442,0.9206843316555023,-0.2614368379116058,3.33550177415212,0.9156916024978561,0.9135882298151652,-0.826189782222112,5.040226030349731,0.9553136940684201
19,0.9774553406238555,-0.016781580230842034,1.7670256892840068,0.9322098950544994,-0.016781580230842034,1.7670256892840068,-0.2120195349430044,2.603743863900503,0.9466975981655619,0.7053959021822073,0.7813152171625447,False,0.9945346117019653,-0.020228837570175528,1.8081210136413575,0.9494792081901365,0.9955308814843495,-0.016781580230842034,1.7670256892840068,0.938810936576357,0.9700599531332652,-0.36627011746168137,3.4808663527170816,0.9766008959034093,0.9949413617451985,-0.019578210776671767,1.7984029134114583,0.9110588556509477,0.9322098950544994,-0.6372389286756516,4.164303350448608,0.9575380945069593
20,0.952508579492569,-0.07602033788959185,2.6416216293970742,0.920514976978302,-0.07602033788959185,2.6416216293970742,-0.4336926077057919,3.7999482011795047,0.9470584918104415,0.5697580484969016,0.49752198301132544,False,0.920514976978302,-0.660447038213412,4.262227400143941,0.9519355494273947,0.9747649212678273,-0.10245387988785902,2.7667742649714153,0.9413430958707135,0.950384630759557,-0.6180235882600148,4.447107712427775,0.9764557278985209,0.9799609462420146,-0.07602033788959185,2.6416216293970742,0.9116242186608944,0.9369174222151438,-0.7115181942780813,4.882009998957316,0.9539338671946843
21,0.9742866122722625,-0.01400675120142599,1.6372700770696005,0.9238840043544769,-0.01400675120142599,1.6372700770696005,-0.26207738749062026,2.473085803985595,0.9464889659621728,0.91053357851586,0.25208152749975354,False,0.9964455684026082,-0.014547647008051475,1.6497294584910074,0.9503858464479387,0.9959591686725616,-0.014111136101807158,1.6372700770696005,0.9374134298202074,0.9585131446520487,-0.49179894775152205,3.462574100494385,0.977253779798121,0.9966311752796173,-0.01400675120142599,1.6390769084294636,0.9145746566966085,0.9238840043544769,-0.7759224553902944,3.9767784754435223,0.9528171170479889
22,0.9655000670750937,-0.018748198465133706,1.91379447778066,0.917809134721756,-0.018748198465133706,1.91379447778066,-0.3149418513880422,2.855134278138478,0.9485644955375169,0.9050550572552165,0.24851629372709214,False,0.9947343329588573,-0.021032784429068366,1.9442521373430888,0.9524271123075836,0.9953999618689219,-0.018748198465133706,1.91379447778066,0.9425613255117351,0.9244135717550913,-0.7347247918446859,4.148152875900268,0.9776380875383346,0.9951433340708414,-0.02124414234422147,1.9482536315917969,0.9150265266390972,0.917809134721756,-0.7789593398571014,4.321218268076579,0.955169425690835
23,0.9759875945250194,-0.009718338415647546,1.4177556912104288,0.9401498317718506,-0.009718338415647546,1.4177556912104288,-0.2162940008457129,2.1095318873723348,0.9485709682504624,0.9134253311457754,0.28119011842135794,False,0.9976103842258454,-0.009749156958423554,1.4182475487391153,0.9475190123695852,0.9974866926670074,-0.009718338415647546,1.4177556912104288,0.9432436055438005,0.9471285084883372,-0.4826457460721334,3.1147112607955934,0.9771473533127194,0.9975625554720561,-0.01001804075203836,1.421722173690796,0.9179516331648675,0.9401498317718506,-0.5693387220303218,3.1752227624257405,0.9569932368613395
24,0.9434071334203085,-0.0988172856469949,2.470927155017853,0.9117554446061452,-0.0988172856469949,2.470927155017853,-0.4159626818324129,3.1634728376070655,0.9471186471451943,0.9964029116006139,0.43020757318635783,False,0.9540692746639252,-0.2864261331657569,2.5899762789408367,0.950729413923144,0.966543420155843,-0.1262148711209496,2.4779578685760497,0.9428619564036765,0.9117554446061452,-0.7641898612181346,4.152021201451619,0.9745825523172633,0.9728833397229513,-0.0988172856469949,2.470927155017853,0.9133703703196929,0.9117841879526775,-0.8041652580102284,4.12648168404897,0.9540489427621958
25,0.9638169980049135,-0.08589881596465905,2.465974255402883,0.9277834216753642,-0.08589881596465905,2.465974255402883,-0.2840198989709218,3.0797036099433894,0.9460836556648883,0.7293682450975568,0.2008158933017014,False,0.98327996134758,-0.1005528778458635,2.506887169679006,0.9493220093484794,0.978255053361257,-0.08589881596465905,2.493544900417328,0.9420303746847655,0.9552751183509827,-0.4684433509906133,3.7972173849741617,0.9778062200167235,0.974491435289383,-0.08750481562068065,2.465974255402883,0.9052013554264345,0.9277834216753642,-0.6776996344327927,4.134894339243571,0.9560583188480397
